Entity,Year,Records,Organization_type,Method
21st Century Oncology,2016,2200000,Healthcare,Hacked
500px,2020,14870304,Social Networking,Hacked
Accendo Insurance Co.,2020,175350,Healthcare,Poor Security
Adobe Systems Incorporated,2013,152000000,Tech,Hacked
Adobe Inc.,2019,7500000,Tech,Poor Security
Advocate Medical Group,2017,4000000,Healthcare,Lost / Stolen Media
AerServ (subsidiary of InMobi),2018,75000,Advertising,Hacked
"Affinity Health Plan, Inc.",2013,344579,Healthcare,Lost / Stolen Media
Airtel,2019,320000000,Telecommunications,Poor Security
Air Canada,2018,20000,Transport,Hacked
TD Ameritrade,2005,200000,Financial,Lost / Stolen Media
Ancestry.com,2021,300000,Web,Poor Security
Animal Jam,2020,46000000,Gaming,Hacked
"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,Healthcare,Hacked
Anthem Inc.,2021,80000000,Healthcare,Hacked
AOL,2021,92000000,Web,"Inside Job, Hacked"
AOL,2021,20000000,Web,Accidentally Published
AOL,2014,2400000,Web,Hacked
"Apple, Inc./BlueToad",2021,12367232,"Tech, Retail",Accidentally Published
Apple,2021,275000,Tech,Hacked
Apple Health Medicaid,2021,91000,Healthcare,Poor Security
Ashley Madison,2015,32000000,Web,Hacked
AT&T,2008,113000,Telecoms,Lost / Stolen Computer
AT&T,2010,114000,Telecoms,Hacked
Auction.co.kr,2008,18000000,Web,Hacked
Automatic Data Processing,2005,125000,Financial,Poor Security
"AvMed, Inc.",2009,1220000,Healthcare,Lost / Stolen Computer
Bailey's Inc.,2015,250000,Retail,Hacked
The Bank of New York Mellon,2008,12500000,Financial,Lost / Stolen Media
Bank of America,2005,1200000,Financial,Lost / Stolen Media
Bell Canada,2017,1900000,Telecoms,Poor Security
Bell Canada,2018,100000,Telecoms,Hacked
Benesse,2014,35040000,Educational Services,Hacked
Betfair,2010,2300000,Web,Hacked
Bethesda Game Studios,2011,200000,Gaming,Hacked
Blank Media Games,2018,7633234,Gaming,Hacked
Blizzard Entertainment,2012,14000000,Gaming,Hacked
BlueCross BlueShield of Tennessee,2009,1023209,Healthcare,Lost / Stolen Media
BMO and Simplii,2018,90000,Banking,Poor Security
2018 British Airways cyberattack,2018,500000,Transport,Hacked
California Department of Child Support Services,2012,800000,Government,Lost / Stolen Media
Canva,2019,140000000,Web,Hacked
Capcom,2020,350000,Game,Hacked
Capital One,2019,106000000,Financial,Unsecured S3 Bucket
"CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,Financial,Hacked
Cathay Pacific Airways,2018,9400000,Transport,Hacked
CareFirst BlueCross Blue Shield - Maryland,2015,1100000,Healthcare,Hacked
Central Coast Credit Union,2016,60000,Financial,Hacked
